Name,New-ID,New_ID,Unicode-Name,Current-Name_from_Nov17Revised,Revised-Name_from_Nov17Revised,Longitude_DD_from_Nov17Revised,Latitude_DD_from_Nov17Revised,Maps-Estimated,6,7,Notes_from_Nov17Revised,Final,URI_from_Nov17Revised,Monastery_from_Nov17Revised,Multiple_from_Nov17Revised,My_notes_from_Nov17Revised
Van,59,New59,Van,Van,,43.3407211,38.5027734,3,,,,,,,,
Hulwan/Beth Lashpar,60,New60,Hulwan/Beth Lashpar,Hulwan/Beth Lashpar,,45.8692262,34.458044,"1,4,1",,,,,,,,
Seleucia,61,New61,Seleucia,Seleucia,,44.5257854,33.1008353,"1,2",,,,,,,,
Ctesiphon,62,New62,Ctesiphon,Ctesiphon,,44.5806956,33.0937168,"1,2,1,6,4,2",,,,,,,,
Rai,63,New63,Rai,Rai,,51.4369476,35.5964083,"1,1",,,,,,,,
Basra,64,New64,Baṣra,Baṣra,,47.7341366,30.399974,1,,,,,,,,
Rev Ardashir,65,New65,Rev Ardashir,Rev Ardashir,,50.836721,28.911919,1,,,,,,,,
Raqqa,66,New66,Raqqa,Raqqa,,39.016667,35.95,1,,,,,,,,
Arzon/Arzun,67,New67,Arzon/Arzun,Arzon/Arzun,,41.384393,37.9761472,"1,2,1",,,,,,,,
Bidlis,68,New68,Bidlis,Bidlis,,42.10742,38.4016128,1,,,,,,,,
Qardu,69,New69,Qardu,Qardu,,42.344167,37.369444,1,,,,,,,,
Balad,70,New70,Balad,Balad,,42.7355719,36.5088083,1,,,,,,,,
Hdatta,71,New71,Hdatta,Hdatta,,43.3644962,35.9984762,"1,4,1",,,,,,,,
Tagrit,72,New72,Tagrit,Tagrit,,43.68333,34.6,"1,1",,,,,,,,
Carrhae/Harran,73,New73,Carrhae/Harran,Carrhae/Harran,,39.0311623,36.8646007,"6,6,2,1",,,,,,,,
Baghdad,74,New74,Baghdad,Baghdad,,44.3406487,33.3325362,"1,4,7,3,1, 4,1",,,,,,,,
Ispahan,75,New75,Ispahan,Ispahan,,51.679191,32.65139,1,,,,,,,,
Hamadan,76,New76,Hamadan,Hamadan,,48.5143429,34.7998274,"7,3,1",,,,,,,,
Nihawand,77,New77,Nihawand,Nihawand,,48.3722341,34.188793,1,,,,,,,,
Susa,78,New78,Susa,Susa,,48.24854,32.19202,"1,2,1,2,1,1",,,,,,,,
Kashkar,79,New79,Kashkar,Kashkar,,46.3083172,32.191957,"1,2,1,1",,,,,,,,
Dinawar,80,New80,Dinawar,Dinawar,,47.4606156,34.6154622,1,,,,,,,,
Shahrzur,81,New81,Shahrzūr,Shahrzūr,,45.6498671,35.3599012,1,,,,,,,,
Shigar,82,New82,Sinjar,Sinjar,,41.8551636,36.328541,1,,,,,,,,
Edessa,83,New83,Edessa,Edessa,,38.783884,37.1453862,"2,1,2,6,6,1,2,2",,,,,,,,
Rome,84,New84,Rome,Rome,,12.4922919,41.89025,"1,7,3,1, 4",,,,,,,,
Merv,85,New85,Merv,Merv,,62.1778107,37.6675842,"4,1,4",,,,,,,,
Khotan,86,New86,Khotan,Khotan,,79.935485,37.107497,"4,4",,,,,,,,
Khanbaliq/Beijing,87,New87,Khanbaliq/Beijing,Khanbaliq/Beijing,,116.3907051,39.9171754,"4,4",,,,,,,,
Konye-Urgench,88,New88,Konye-Urgench,Konye-Urgench,,59.1445541,42.3000715,4,,,,,,,,
Luoyang,89,New89,Luoyang,Luoyang,,112.4733925,34.6850989,4,,,,,,,,
Jerusalem,90,New90,Jerusalem,Jerusalem,,35.229764,31.7784529,"1,2,6,7,3,2,1, 4",,,,,,,,
Qaraqorum,91,New91,Qaraqorum,Qaraqorum,,102.847778,47.210278,4,,,,,,,,
Palmyra,92,New92,Palmyra,Palmyra,,38.26722,34.56,2,6,,,y,,,,
Panjikent,93,New93,Panjikent,Panjikent,,67.6169014,39.4886085,4,,,,,,,,
Quanzhou,94,New94,Quanzhou,Quanzhou,,118.5810614,24.9120889,4,,,,,,,,
Samarqand,95,New95,Samarqand,Samarqand,,66.9682789,39.6551179,"1, 4",,,,,,,,
Samarra,96,New96,Samarra,Samarra,,43.8802421,34.2071707,1,,,,,,,,
Salmas,97,New97,Salmas,Salmas,,44.7716475,38.1971801,1,,,,,,,,
Samosata (Old Samsat),98,New98,Samosata (Old Samsat),Samosata (Old Samsat),,38.51292394,37.51524058,6,,,,,,,,
Scythopolis,99,New99,Scythopolis,Scythopolis,,35.5022335,32.5022881,2,,,,,,,,
Semele,100,New100,Semele,Semele,,42.8473878,36.856875,"7,3",,,,,,,,
Sergiopolis/Resafa,101,New101,Sergiopolis/Resafa,Sergiopolis/Resafa,,38.7580061,35.6290295,"2,2",,,,,,,,
Qarashahr,102,New102,Qarashahr,Qarashahr,,86.5068626,41.9535222,4,,,,,,,,
Qarshi,103,New103,Qarshi,Qarshi,,65.7817125,38.8366657,4,,,,,,,,
Qashan,104,New104,Qashan,Qashan,,51.4405096,33.9729758,1,,,,,,,,
Qayaliq,105,New105,Qayaliq,Qayaliq,,79.0495491,45.13168,4,,,,,,,,
Qum,106,New106,Qum,Qum,,50.8786297,34.6417881,1,,,,,,,,
Qamishli,107,New107,Qamishli,Qamishli,,41.2237072,37.0430007,"7,3",,,,,,,,
Osh,108,New108,Osh,Osh,,72.7855396,40.5273867,4,,,,,,,,
Abarshahr/Nishapur,109,New109,Abarshahr/Nishapur,Abarshahr/Nishapur,,58.84734,36.17094,"4,4",,,,,,,,
Nineveh,110,New110,Nineveh,Nineveh,,43.1546402,36.3597897,"1,2,6,2",,,,,,,,
Navekath,111,New111,Navekath,Navekath,,75.0081253,42.9170864,"4,4",,,,,,,,
Zhenjiang,112,New112,Zhenjiang,Zhenjiang,,119.4441319,32.2138903,4,,,,,,,,
Yangzhou,113,New113,Yangzhou,Yangzhou,,119.4218159,32.4172112,4,,,,,,,,
Xiapu,114,New114,Xiapu,Xiapu,,119.9966025,26.8858756,4,,,,,,,,
Chang'an/Xi'an,115,New115,Chang'an/Xi'an,Chang'an/Xi'an,,108.9427042,34.2658353,"4,4",,,,,,,,
Ulaan Tolgoi,116,New116,Ulaan Tolgoi,Ulaan Tolgoi,,91.32,47.04,"4,4",,,,,,,,
Turfan,117,New117,Turfan,Turfan,,89.203223,42.9345347,"4,4",,,,,,,,
Trebizond,118,New118,Trebizond,Trebizond,,39.719739,41.0043544,"1, 4",,,,,,,,
Yarkand,119,New119,Yarkand,Yarkand,,77.2569323,38.41746,4,,,,,,,,
Uzgand,120,New120,Uzgand,Uzgand,,73.2973909,40.7713444,4,,,,,,,,
Urgut,121,New121,Urgut,Urgut,,67.2430873,39.39921,4,,,,,,,,
Tella/Constantina,122,New122,Tella/Constantina,Tella/Constantina,,39.7693062,37.2316952,"1,2,2",,,,,,,,
Tashkent,123,New123,Tashkent,Tashkent,,69.2376208,41.3236845,"4,4",,,,,,,,
Talgar,124,New124,Talgar,Talgar,,77.2477484,43.3032575,4,,,,,,,,
Talas/Taraz,125,New125,Talas/Taraz,Talas/Taraz,,71.3922501,42.8983521,4,,,,,,,,
Sis,126,New126,Sis,Sis,,35.8138204,37.4457324,"1, 4",6,,,,,,,
Old Sarai,127,New127,Old Sarai,Old Sarai,,47.454586,47.174355,,,,,,,,,
New Sarai,128,New128,New Sarai,New Sarai,,45.3275,48.685833,,,,,,,,,
Tel-Bashir,129,New129,Tel-Bashir,Tel-Bashir,Tel Bashir,37.5590372,36.8743339,4,6,,,y,,,,
Kashgar,130,New130,Kashgar,Kashgar,,75.9848356,39.4722453,"4,4",,,,,,,,
Kandanad,131,New131,Kandanad,Kandanad,,76.3725,9.914444,8,,,,,,,,
Korla,132,New132,Korla,Korla,,86.1740112,41.7266148,4,,,,,,,,
Emesa/Homs,133,New133,Emesa/Homs,Emesa/Homs,,36.7142487,34.7233433,"2,7,3,2",,,,,,,,
Herat,134,New134,Herat,Herat,,62.1903634,34.3407608,"4,4,1, 4",,,,,,,,
Dunhuang,135,New135,Dunhuang,Dunhuang,,94.6674728,40.1380718,"4,4",,,,,,,,
Amida/Diyarbakir,136,New136,Amida/Diyarbakir,Amida/Diyarbakir,,40.2358389,37.9112604,"1,2,7,3,2,2,1, 4",,,,,,,,
Almaliq,137,New137,Almalīq,Almalīq,,80.53305556,44.24,"4,4",,,,,,,,
Ankamaly,138,New138,Ankamaly,Ankamaly,,76.3839698,10.1897281,"8,8",,,,,,,,
Alexandria,139,New139,Alexandria,Alexandria,,29.8960304,31.1951088,1,,,,,,,,
Zeugma,140,New140,Zeugma,Zeugma,,37.8661609,37.0530879,"1,2",6,,,y,,,,
Apamea,141,New141,Apamea,Apamea,,36.3968468,35.419832,2,,,,,,,,
Balkh,142,New142,Balkh,Balkh,,66.9009018,36.7677672,4,,,,,,,,
Berytus/Beirut,143,New143,Berytus/Beirut,Berytus/Beirut,,35.51306,33.88694,"7,3,2",,7,"Ancient First/Modern, should use a divider?",y,,,,
Besh-baliq,144,New144,Besh-baliq,Besh-baliq,,89.2082977,44.097664,4,,,,,,,,
Bostra,145,New145,Bostra,Bostra,,36.483333,32.516667,"6,2",,,,,,,,
Bukhara,146,New146,Bukhara,Bukhara,,64.412241,39.77754,"4,4",,,,,,,,
Burana/Balasagun,147,New147,Burana/Balasagun,Burana/Balasagun,,75.2500927,42.7464173,4,,,,,,,,
Caesarea Maritima,148,New148,Caesarea Maritima,Caesarea Maritima,,34.8925138,32.50265,2,,,,,,,,
Chifeng,149,New149,Chifeng,Chifeng,,118.963611,42.268333,"4,4",,,,,,,,
Cochin,150,New150,Cochin,Cochin,,76.2445164,9.9661032,8,,,,,,,,
Dura/Europos,151,New151,Dura-Europos,Dura-Europos,,40.7300091,34.7478894,6,,,,,,,,
Anbar,152,New152,Anbar,Anbar,,43.640686,33.40006933,1,,,,,,,,
Babylon,153,New153,Babylon,Babylon,,44.4207716,32.5362493,6,,,,,,,,
Baquba,154,New154,Baquba,Baquba,,44.6414101,33.7537907,"7,3",,,,,,,,
Assur,155,New155,Assur,Assur,,43.2611775,35.4596912,6,,,,,,,,
Fengzhou/Hohhot,156,New156,Fengzhou/Hohhot,Fengzhou/Hohhot,,111.6491228,40.8086041,"4,4",,,,,,,,
Guangzhou,157,New157,Guangzhou,Guangzhou,,113.25,23.116667,4,,,,,,,,
Goa,158,New158,Goa,Goa,,73.912,15.503,8,,,,,,,,
Hakkari,159,New159,Hakkari,Hakkari,,43.740833,37.574444,"7,3,1, 4",,,,,,,,
Hassake,160,New160,Hassake,Hassake,,40.7489026,36.5023318,"7,3",,,,,,,,
Hatra,161,New161,Ḥaṭra,Ḥaṭra,,42.7175903,35.5882946,"6,6",,,,,,,,
Hamath,162,New162,Ḥama,Ḥama,,36.7494607,35.1363876,6,,,,,,,,
Luntai,163,New163,Luntai (Bügür),Luntai (Bügür),,84.24417,41.77389,4,,,,,,,,
Mylapore,164,New164,Mylapore,Mylapore,,80.2779043,13.0335859,"8,1",,,,,,,,
Trichur,165,New165,Trichur,Trichur,,76.2144756,10.5245223,8,,,,,,,,
Aqsu,166,New166,Aqsu,Aqsu,,80.2585387,41.1607731,4,,,,,,,,
Aq-Beshim/Suyab,167,New167,Aq-Beshim/Suyab,Aq-Beshim/Suyab,,75.24153,42.81337,4,,,,,,,,
Adummatu/Dumatha,168,New168,Adummatu/Dumatha,Adummatu/Dumatha,,39.8837721,29.8287032,6,,,,,,,,
Bazyan,169,New169,Bazyan,Bazyan,,45.1461697,35.5920288,"1,2",,,,,,,,
Beth-Sbirino,170,New170,Beth Sbirino,Beth Sbirino,,41.6210765,37.3093426,"1, 4",,,,,,,,
Cyrrhus,171,New171,Cyrrhus,Cyrrhus,,36.9564629,36.7439051,2,6,,,y,,,,
Estil,172,New172,Estil,Estil,,41.3345629,37.4257253,"7,3",,,,,,,,
Gilgit,173,New173,Gilgit,Gilgit,,74.3033266,35.923098,4,,,,,,,,
Gonbad-e Qabus,174,New174,Gonbad-e Qabus,Gonbad-e Qabus,,55.1689893,37.2581032,,,,,,,,,
(Dasht Qal`eh),175,New175,(Dasht Qal`eh),(Dasht Qal`eh),,55.2397728,37.1767314,,,,,,,,,
Gurgan,176,New176,Gurgan,Gurgan,,55.1316905,37.2349924,1,,,,,,,,
Hirta,177,New177,Hirta,Hirta,,44.480499,31.8872054,1,,,,,,,,
Karka d'Ledan/Eran-xwarrah-Shabuhr (Ivan-e Kerkha),178,New178,Karka d-Ledan/Eran-xwarrah-Shabuhr (Ivan-e Kerkha),Karka d-Ledan/Eran-xwarrah-Shabuhr (Ivan-e Kerkha),,48.1224775,32.329969,1,,,,,,,,
Karka d'Maishan,179,New179,Karka d-Maishan,Karka d-Maishan,,47.578826,30.8946388,1,,,,,,,,
Koshang,180,New180,Koshang,Koshang,,109.963274,39.8223149,4,,,,,,,,
Kottayam,181,New181,Kottayam,Kottayam,,76.5261483,9.5924139,8,,,,,,,,
Ma`arat Saidnaya,182,New182,Maʿarrat Ṣaydnaya,Maʿarrat Ṣaydnaya,,36.3852,33.67204,"2,7,3",,7,,y,,,,
Bars-kol,183,New183,Bars-köl,Bars-köl,,93.00862,43.59881,4,,,,,,,,
Beth-Daraye,184,New184,Beth Daraye,Beth Daraye,,45.9319925,33.123643,1,,,,,,,,
Hah,185,New185,Ḥaḥ,Ḥaḥ,,41.609669,37.4747282,"1, 4",,,,,,,,
Karajigach,186,New186,Karajigach,Karajigach,,74.71127,42.80894,4,,,,,,,,
Kharg Island,187,New187,Kharg Island,Kharg Island,,50.30604,29.230338,"1,2",,,,,,,,
Mar Mattai mon.,188,New188,Mar Matay,Mar Matay mon.,,43.4427309,36.4903691,"1,2",,,,,,,,
Mansuriyya,189,New189,Manṣūriyya,Manṣūriyya,,42.1610212,37.358202,"1, 4",,,,,,,,
Mar Awgen mon.,190,New190,Mar Awgen,Mar Awgen mon.,,41.4307201,37.1937709,"1, 4",,,,,,,,
Mar Musa al-Habashi mon.,191,New191,Mar Musa al-Ḥabashi,Mar Musa al-Ḥabashi,,36.8428767,34.0212262,2,,7,,y,http://syriaca.org/place/228,y,,
Mar Saba mon.,192,New192,Mar Saba,Mar Saba mon.,,35.33113,31.7048031,"1,2",,,,,,,,
Marga (Mergin),193,New193,Marga,Marga,,43.9505267,36.7190379,"1,3",,,,,,,,
Mirki,194,New194,Mirki,Mirki,,73.1810904,42.8718441,4,,,,,,,,
Mizdaxkan,195,New195,Mizdaxkan,Mizdaxkan,,59.3891501,42.4008493,4,,,,,,,,
Beth-`Abe,196,New196,Beth ʿAbe,Beth ʿAbe,,43.879639,36.733222,"1,2",,,,,,,,
Dayr al-Za`faran,197,New197,Dayr al-Zaʿfaran ,Dayr al-Zaʿfaran (mon.),,40.7925797,37.2994048,"1, 4",,,,,,,,
Mar Elian mon.,198,New198,Mar Elian,Mar Elian,,37.2250271,34.2360291,2,,7,,y,,y,,
Dayr Yaqub,199,New199,Dayr Yaqub ,Dayr Yaqub (mon.),,38.7747753,37.1212058,2,,,,,,,,
`Ukbara,200,New200,ʿUkbara,ʿUkbara,,44.3124962,33.782429,1,,,,,,,,
Enaton,201,New201,The Enaton,The Enaton,,29.5405197,30.9559716,1,,,,,,,,
Bishapur,202,New202,Bishapur,Bishapur,,51.571455,29.7777878,,,,,,,,,
Istakhr,203,New203,Istakhr,Istakhr,,52.9090405,29.9808475,,,,,,,,,
Shiraz,204,New204,Shiraz,Shiraz,,52.5448608,29.6095807,,,,,,,,,
Darabgard,205,New205,Darabgard,Darabgard,,54.4779396,28.6908135,,,,,,,,,
Bardasir (Kirman),206,New206,Bardasir (Kirman),Bardasir (Kirman),,57.0949602,30.2920525,,,,,,,,,
Zarang/Sistan,207,New207,Zarang/Sistan,Zarang/Sistan,,61.8495083,31.0062307,,,,,,,,,
Aprah (Farah),208,New208,Aprah (Farah),Aprah (Farah),,62.1115494,32.382136,,,,,,,,,
Tus,209,New209,Tus,Tus,,59.5104825,36.4877038,,,,,,,,,
Pelusium,210,New210,Pelusium,Pelusium,,32.5461388,31.0429333,,,,,,,,,
Damietta,211,New211,Damietta,Damietta,,31.8162346,31.4218151,,,,,,,,,
Cairo,212,New212,Cairo,Cairo,,31.2408257,30.0113618,yes,,,,,,,,
Memphis,213,New213,Memphis,Memphis,,31.2542582,29.8523692,,,,,,,,,
Tyre,214,New214,Tyre,Tyre,,35.1948738,33.2711298,yes,,7,,y,,,,
Tripoli,215,New215,Tripoli,Tripoli,,35.8428955,34.4373542,yes,6,7,Tripolis?,,,,,
Laodicea/Latakia,216,New216,Laodicea/Latakia,Laodicea/Latakia,,35.7791233,35.5106403,,,,,,,,,
Seleucia Pieria,217,New217,Seleucia Pieria,Seleucia Pieria,,35.9402275,36.1233168,,6,,,y,,,,
Alexandretta/Iskenderun,218,New218,Alexandretta/Iskenderun,Alexandretta/Iskenderun,,36.1682796,36.5857603,yes,6,,,y,,,,
Tarsus,219,New219,Tarsus,Tarsus,,34.8978138,36.9180925,yes,6,,,y,,,,
Caesarea/Kayseri,220,New220,Caesarea/Kayseri,Caesarea/Kayseri,,35.4888439,38.7211775,yes,,,,,,,,
Sebasteia/Sivas,221,New221,Sebasteia/Sivas,Sebasteia/Sivas,,37.0149994,39.7455401,,,,,,,,,
Neokaisareia/Niksar,222,New222,Neokaisareia/Niksar,Neokaisareia/Niksar,,36.9553256,40.591796,,,,,,,,,
Amaseia/Amasya,223,New223,Amasya,Amasya,,35.8283043,40.6549876,,,,,,,,,
Hromkla,224,New224,Hromkla,Hromkla,Qalʿa Rumayta/Hromkla,37.8382874,37.2709793,,6,,,y,,,,
Arshamshat,225,New225,Arshamshat,Arshamshat,,39.765358,38.6218329,,,,,,,,,
Erznka/Ezincan,226,New226,Erznka/Ezincan,Erznka/Ezincan,,39.4891977,39.7294026,,,,,,,,,
Theodosiopolis/Karin/Erzurum,227,New227,Theodosiopolis/Karin/Erzurum,Theodosiopolis/Karin/Erzurum,,41.2769651,39.9078269,,,,,,,,,
Dvin,228,New228,Dvin,Dvin,,44.5780134,40.0048046,yes,,,,,,,,
Artashat,229,New229,Artashat,Artashat,,44.5720482,39.8812229,,,,,,,,,
Vagharshapat/Echmiadzin,230,New230,Vagharshapat/Echmiadzin,Vagharshapat/Echmiadzin,,44.2909098,40.1619194,,,,,,,,,
Kars,231,New231,Kars,Kars,,43.0896664,40.6134312,yes,,,,,,,,
Ani,232,New232,Ani,Ani,,43.5710049,40.5085461,yes,,,,,,,,
Partaw/Bardha`ah,233,New233,Partaw/Bardhaʿah,Partaw/Bardhaʿah,,47.1282792,40.383183,,,,,,,,,
Nakhchivan,234,New234,Nakhchivan,Nakhchivan,,45.4125023,39.1971411,,,,,,,,,
Tat`ev,235,New235,Tatev,Tatev mon.,,46.2504244,39.3795253,yes,,,,,,,,
Adurbadagan/Ardabil,236,New236,Adurbadagan/Ardabil,Adurbadagan/Ardabil,,48.2971966,38.2486751,,,,,,,,,
Soltaniyeh,237,New237,Soltaniyeh,Soltaniyeh,,48.7959266,36.4339722,,,,,,,,,
Dairin (Tarout),238,New238,Dairin (Tarout),Dairin (Tarout),,50.0588608,26.5713331,,,,,,,,,
Mashmahig/Samahij,239,New239,Mashmahig/Samahij,Mashmahig/Samahij,,50.6342268,26.2821027,,,,,,,,,
Hatta/al-Qatif,240,New240,Hatta/al-Qatif,Hatta/al-Qatif,,50.0040579,26.5581479,,,,,,,,,
Hagar (al-Battaliyah NE of al-Hufuf?),241,New241,Hagar (al-Battaliyah NE of al-Hufuf?),Hagar (al-Battaliyah NE of al-Hufuf?),,49.6297073,25.4328399,,,,,,,,,
Mazun (Suhar?),242,New242,Mazun (Suhar?),Mazun (Suhar?),,56.743269,24.3610932,,,,,,,,,
Daybul (Bhambor?),243,New243,Daybul (Bhambor?),Daybul (Bhambor?),,67.521286,24.7513522,,,,,,,,,
Paidangaran/Baylaqan,244,New244,Paidangaran/Baylaqan,Paidangaran/Baylaqan,,47.5052047,39.8356626,,,,,,,,,
Qabalak,245,New245,Qabalak,Qabalak,,47.7081728,40.8890875,,,,,,,,,
Sheki (Nukha),246,New246,Sheki (Nukha),Sheki (Nukha),,47.1969652,41.2040212,,,,,,,,,
Gis/Kish,247,New247,Gis/Kish,Gis/Kish,,47.193067,41.248933,,,,,,,,,
Gelersen-Gorersen,248,New248,Gelersen-Gorersen,Gelersen-Gorersen,,47.2282505,41.262969,,,,,,,,,
Shake,249,New249,Shake,Shake,,47.1663558,41.2069594,,,,,,,,,
Shamakha/Shamakhi,250,New250,Shamakha/Shamakhi,Shamakha/Shamakhi,,48.6436254,40.6266972,,,,,,,,,
Shenna?/Shajarah,251,New251,Shenna?/Shajarah,Shenna?/Shajarah,,43.4104156,35.2136487,1,,,,,,,,
Nifr,252,New252,Nifr,Nifr,,45.2329445,32.12896,1,,,,,,,,
al-Nahrawan,253,New253,al-Nahrawan,al-Nahrawan,,44.5845366,33.4215201,,,,,,,,,
al-Saymarah,254,New254,al-Saymarah,al-Saymarah,,47.3654938,33.1305075,,,,,,,,,
al-Nil,255,New255,al-Nil,al-Nil,,44.863615,32.4997726,,,,,,,,,
Resh`ayna (Ra`s al-`Ayn),256,New256,Reshʿayna,Reshʿayna,,40.0686407,36.8448042,"1,2",,,,,,,,
Petra,257,New257,Petra,Petra,,35.44194,30.32861,6,,,,,,,,
Siraf,258,New258,Siraf,Siraf,,52.3360991,27.6683164,,,,,,,,,
Hormuz,259,New259,Hormuz,Hormuz,,56.9790459,27.0819012,yes,,,,,,,,
